timestamp,tipo,layer,entry,exit,gain,amount,parcial,close_by
2025-01-01 03:47:00,long,1,93526.576,93727.5,0.08589799348582976,0.0004276859231968462,,
2025-01-01 03:47:00,long,2,93338.96,93727.5,0.24966075302317076,0.0006428183900913402,,
2025-01-01 03:47:00,long,3,92963.728,93727.5,0.8212520169156698,0.001075688358797315,,
2025-01-01 04:28:00,short,1,94008.6825,93714.4,0.12516494399333858,0.00042549261340834134,,
2025-01-01 04:28:00,short,2,94196.1375,93714.4,0.3067290131721184,0.0006369687929083079,,
2025-01-01 04:28:00,short,3,94571.04749999999,93714.4,0.9054619396068253,0.0010574060734602736,,
2025-01-01 04:34:00,long,1,93433.25679999999,93658.0,0.09617701893915431,0.00042811308703091257,,
2025-01-01 04:34:00,long,2,93245.828,93658.0,0.2651102832397001,0.0006434604237735977,,
2025-01-01 04:34:00,long,3,92870.97039999999,93658.0,0.8471051662016541,0.001076762734030827,,
2025-01-01 04:56:00,short,1,93938.97399999999,93652.9,0.12176397430101517,0.0004258083551136082,,
2025-01-01 04:56:00,short,2,94126.29,93652.9,0.30163771078197144,0.0006374414629536552,,
2025-01-01 04:56:00,short,3,94500.92199999999,93652.9,0.8970100748858274,0.0010581907338427874,,
2025-01-01 04:59:00,long,1,93371.94129999999,93545.0,0.07410769193036311,0.00042839422039520135,,
2025-01-01 04:59:00,long,2,93184.63549999999,93545.0,0.2319397520420696,0.0006438829714583152,,
2025-01-01 04:59:00,long,3,92810.0239,93545.0,0.7915978023576394,0.0010774698227396966,,
2025-01-01 05:13:00,short,1,93825.635,93647.8,0.07578477502443416,0.00042632272086407945,,
2025-01-01 05:13:00,short,2,94012.72499999999,93647.8,0.2328061632082179,0.0006382114761592115,,
2025-01-01 05:13:00,short,3,94386.90499999998,93647.8,0.7827456128580352,0.001059469001552705,,
2025-01-01 06:31:00,long,1,93366.8566,93576.1,0.08960768746283643,0.00042841755047368703,,
2025-01-01 06:31:00,long,2,93179.561,93576.1,0.2552364789956486,0.0006439180369179889,,
2025-01-01 06:31:00,long,3,92804.9698,93576.1,0.8305824026247348,0.0010775285010652521,,
