timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1753412400000,116300.00,116350.00,116243.00,116260.7,799.678,1753412459999,92996273.81630,10799,220.828,25681376.13190,0
1753412460000,116260.70,116282.40,116217.00,116217.0,344.362,1753412519999,40031130.29920,5404,145.236,16884020.83370,0
1753412520000,116217.00,116235.50,116153.80,116210.7,602.758,1753412579999,70033871.21350,7819,168.714,19602001.54430,0
1753412580000,116210.70,116342.80,116188.50,116285.9,272.949,1753412639999,31734220.58850,8587,173.531,20176824.66650,0
1753412640000,116285.90,116285.90,116000.10,116001.9,1221.944,1753412699999,141876661.17720,16201,249.932,29020026.20390,0
1753412700000,116001.90,116116.10,116000.00,116000.1,473.088,1753412759999,54896407.89460,7901,206.756,23992821.55400,0
1753412760000,116000.10,116246.80,115796.00,116226.2,2048.396,1753412819999,237498067.05230,29438,733.281,85060635.89790,0
1753412820000,116226.10,116373.10,116197.40,116330.2,876.393,1753412879999,101920890.94840,11961,551.703,64164992.70300,0
1753412880000,116330.10,116381.50,116300.00,116318.4,477.367,1753412939999,55539938.29810,7704,289.250,33653416.36170,0
1753412940000,116318.40,116393.00,116318.30,116333.0,321.021,1753412999999,37350772.21730,4800,223.101,25958121.67510,0
1753413000000,116333.10,116333.10,116154.00,116234.1,523.570,1753413059999,60841347.62670,6791,348.358,40475344.56170,0
1753413060000,116234.20,116323.40,116171.50,116261.7,379.232,1753413119999,44089816.05070,6264,241.797,28110641.52400,0
1753413120000,116261.60,116276.70,116142.20,116142.3,147.271,1753413179999,17117638.47090,3591,64.688,7519602.33830,0
1753413180000,116142.20,116158.30,116024.10,116143.3,547.548,1753413239999,63566247.64460,7663,189.840,22040008.53600,0
1753413240000,116143.40,116218.60,116143.30,116185.2,204.256,1753413299999,23730103.08590,4638,134.387,15612469.68300,0
1753413300000,116185.10,116185.10,116009.30,116012.3,252.989,1753413359999,29366882.72870,4725,116.079,13472302.81500,0
1753413360000,116012.40,116014.60,115939.40,115965.1,421.084,1753413419999,48834713.68110,7825,219.841,25494927.41280,0
1753413420000,115965.10,115976.90,115780.90,115821.9,689.222,1753413479999,79852177.32710,9947,237.022,27460086.05660,0
1753413480000,115821.80,115972.30,115814.80,115900.6,356.472,1753413539999,41314031.93170,6852,207.524,24052739.41580,0
