timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1753413600000,0.31270,0.31306,0.31264,0.31306,834034,1753413659999,260970.87207,426,670955,209959.24536,0
1753413660000,0.31307,0.31322,0.31293,0.313,1029376,1753413719999,322295.52684,492,547303,171364.52041,0
1753413720000,0.31301,0.31323,0.31287,0.31294,1361332,1753413779999,426229.20677,472,954993,299001.44126,0
1753413780000,0.31294,0.31323,0.31285,0.31323,1640116,1753413839999,513468.98282,475,1391689,435702.30158,0
1753413840000,0.31324,0.31341,0.31288,0.31288,1470540,1753413899999,460726.80635,360,919659,288156.45377,0
1753413900000,0.31288,0.31324,0.31283,0.31312,323768,1753413959999,101349.24227,304,175951,55075.64681,0
1753413960000,0.31312,0.31313,0.31292,0.31313,196981,1753414019999,61664.90718,245,67006,20978.60433,0
1753414020000,0.31313,0.31321,0.31293,0.31305,410853,1753414079999,128639.77075,297,133263,41724.94452,0
1753414080000,0.31306,0.31311,0.31291,0.31291,208832,1753414139999,65374.43596,184,53505,16749.78169,0
1753414140000,0.31290,0.31291,0.31270,0.31282,738612,1753414199999,231028.95804,387,94245,29479.67446,0
1753414200000,0.31280,0.31280,0.31205,0.31218,1679331,1753414259999,524465.21314,768,372653,116367.79436,0
1753414260000,0.31219,0.31223,0.31178,0.31196,1381066,1753414319999,430846.04215,734,418073,130449.16656,0
1753414320000,0.31195,0.31198,0.31158,0.31158,2145538,1753414379999,668954.08228,571,174511,54410.37943,0
1753414380000,0.31159,0.31163,0.31115,0.31121,2631902,1753414439999,819513.90754,808,445228,138656.67201,0
1753414440000,0.31122,0.31129,0.31082,0.3111,3469819,1753414499999,1079373.54563,1104,1130885,351869.23325,0
1753414500000,0.31111,0.31125,0.31099,0.31099,879507,1753414559999,273644.65714,495,447995,139393.26091,0
1753414560000,0.31103,0.31128,0.31103,0.31112,573857,1753414619999,178543.82788,458,393819,122525.44844,0
1753414620000,0.31111,0.31115,0.31095,0.31104,728567,1753414679999,226627.28784,431,214633,66766.73598,0
1753414680000,0.31105,0.31107,0.31092,0.31102,1253735,1753414739999,389903.85365,406,666222,207194.46117,0
1753414740000,0.31103,0.31104,0.31079,0.31097,1137868,1753414799999,353759.83783,652,385657,119903.41099,0
1753414800000,0.31093,0.31100,0.31079,0.31083,541886,1753414859999,168464.77999,408,192340,59796.95640,0
1753414860000,0.31084,0.31093,0.31081,0.3109,489025,1753414919999,152030.54762,405,310418,96504.16402,0
1753414920000,0.31091,0.31117,0.31091,0.31093,369375,1753414979999,114888.62846,465,237909,73994.30436,0
1753414980000,0.31093,0.31108,0.31083,0.31101,664405,1753415039999,206615.37558,506,455590,141677.61739,0
1753415040000,0.31101,0.31123,0.31092,0.31122,655482,1753415099999,203858.87540,394,352872,109750.28731,0
1753415100000,0.31122,0.31122,0.31087,0.3111,657661,1753415159999,204553.44262,467,270796,84218.07713,0
1753415160000,0.31110,0.31176,0.31110,0.31157,811803,1753415219999,252858.88304,557,536743,167171.46986,0
1753415220000,0.31156,0.31178,0.31140,0.31174,581774,1753415279999,181286.25549,420,303733,94642.30970,0
1753415280000,0.31174,0.31214,0.31174,0.31194,1879056,1753415339999,586288.16249,509,1660828,518191.90310,0
1753415340000,0.31194,0.31210,0.31183,0.3121,408449,1753415399999,127413.55414,270,243232,75872.69193,0
1753415400000,0.31211,0.31213,0.31152,0.31152,465963,1753415459999,145330.31708,365,52298,16314.50736,0
1753415460000,0.31152,0.31167,0.31142,0.31142,456676,1753415519999,142286.85488,332,143714,44776.30355,0
1753415520000,0.31142,0.31176,0.31141,0.31171,325232,1753415579999,101338.25346,295,177675,55347.19124,0
1753415580000,0.31171,0.31185,0.31149,0.31149,222656,1753415639999,69416.83865,225,72806,22699.45174,0
1753415640000,0.31150,0.31180,0.31150,0.31177,197799,1753415699999,61648.09169,197,92598,28857.53726,0
1753415700000,0.31178,0.31178,0.31149,0.31169,211267,1753415759999,65840.03778,224,70428,21945.25277,0
1753415760000,0.31169,0.31196,0.31169,0.31189,531300,1753415819999,165700.37466,330,411265,128264.04677,0
1753415820000,0.31189,0.31196,0.31158,0.31161,278096,1753415879999,86713.16266,321,87438,27262.78473,0
1753415880000,0.31164,0.31181,0.31164,0.31173,232979,1753415939999,72620.93827,191,120924,37692.29069,0
1753415940000,0.31174,0.31187,0.31174,0.31184,100782,1753415999999,31424.61209,130,50887,15866.07050,0
1753416000000,0.31183,0.31186,0.31174,0.31186,208104,1753416059999,64886.42855,266,63995,19953.54009,0
1753416060000,0.31186,0.31192,0.31166,0.31184,1258649,1753416119999,392377.04630,517,185665,57893.06219,0
1753416120000,0.31184,0.31190,0.31142,0.31165,600756,1753416179999,187242.27150,352,138759,43246.50999,0
1753416180000,0.31167,0.31214,0.31167,0.3121,1876221,1753416239999,585441.16779,473,1668816,520731.85182,0
1753416240000,0.31210,0.31216,0.31195,0.31197,465763,1753416299999,145346.29577,368,109418,34141.25835,0
1753416300000,0.31197,0.31210,0.31166,0.3117,459669,1753416359999,143342.11936,406,55842,17413.41421,0
1753416360000,0.31170,0.31176,0.31152,0.31163,377395,1753416419999,117612.33261,258,57047,17774.42976,0
1753416420000,0.31163,0.31184,0.31162,0.3118,255565,1753416479999,79662.78856,274,99116,30894.54781,0
1753416480000,0.31179,0.31188,0.31170,0.31177,216214,1753416539999,67419.73081,297,81851,25522.03883,0
1753416540000,0.31176,0.31176,0.31129,0.31131,700912,1753416599999,218314.77267,457,100632,31347.61433,0
1753416600000,0.31131,0.31178,0.31125,0.31176,553470,1753416659999,172390.34870,473,330278,102882.47272,0
1753416660000,0.31178,0.31205,0.31164,0.31164,502565,1753416719999,156741.39691,456,250323,78075.97891,0
1753416720000,0.31164,0.31177,0.31113,0.31117,813426,1753416779999,253282.26542,618,180589,56238.88011,0
1753416780000,0.31116,0.31141,0.31105,0.31122,926915,1753416839999,288476.25464,580,191268,59523.09814,0
1753416840000,0.31122,0.31123,0.31088,0.31097,1413000,1753416899999,439546.76621,402,222443,69206.22527,0
1753416900000,0.31097,0.31112,0.31085,0.31085,422392,1753416959999,131346.01693,354,153098,47612.26241,0
1753416960000,0.31086,0.31104,0.31055,0.31104,2027621,1753417019999,629945.08633,961,472679,146880.03852,0
1753417020000,0.31104,0.31127,0.31090,0.31101,816025,1753417079999,253886.95704,482,552508,171890.68830,0
1753417080000,0.31101,0.31139,0.31098,0.31104,620801,1753417139999,193187.38925,408,395311,123017.79012,0
1753417140000,0.31104,0.31105,0.31075,0.31084,313250,1753417199999,97379.86886,287,110459,34333.80837,0
1753417200000,0.31080,0.31115,0.31074,0.31081,342138,1753417259999,106377.33445,395,151012,46953.63397,0
1753417260000,0.31081,0.31092,0.31056,0.31058,1582036,1753417319999,491467.69048,410,114901,35706.51711,0
1753417320000,0.31059,0.31127,0.31059,0.31121,1578886,1753417379999,491079.76011,760,1186708,369074.02459,0
1753417380000,0.31126,0.31139,0.31112,0.31138,684515,1753417439999,213062.09870,491,396298,123352.87222,0
1753417440000,0.31139,0.31152,0.31122,0.3115,520897,1753417499999,162208.34154,381,337263,105030.71341,0
1753417500000,0.31150,0.31153,0.31132,0.31133,333842,1753417559999,103965.84161,259,95443,29723.79593,0
1753417560000,0.31132,0.31133,0.31118,0.31124,238169,1753417619999,74131.23380,264,71756,22333.85251,0
