timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1753412400000,3.0745,3.0835,3.0731,3.082,2997731.9,1753412459999,9222929.85977,5426,1382132.2,4252680.95122,0
1753412460000,3.0821,3.0851,3.0789,3.0813,855040.4,1753412519999,2634951.63886,3372,514687.8,1586067.40504,0
1753412520000,3.0814,3.0838,3.0744,3.0746,1294180.7,1753412579999,3982565.86543,3716,356238.4,1096500.32371,0
1753412580000,3.0745,3.0830,3.0718,3.081,1303630.6,1753412639999,4009686.40777,3816,309863.5,953583.20403,0
1753412640000,3.0811,3.0814,3.0669,3.0686,1698458.4,1753412699999,5218776.63075,4129,429531.7,1320077.42339,0
1753412700000,3.0686,3.0727,3.0667,3.0692,3039064.2,1753412759999,9328568.51430,4517,1996345.5,6127620.08787,0
1753412760000,3.0692,3.0857,3.0600,3.0834,3190966.6,1753412819999,9790813.74476,9227,1305177.3,4008035.07439,0
1753412820000,3.0835,3.0914,3.0815,3.0909,2835856.3,1753412879999,8756181.13656,5809,1047394.1,3234613.54503,0
1753412880000,3.0909,3.0960,3.0901,3.0906,1109726.6,1753412939999,3432280.17411,4828,652140.5,2016990.55088,0
1753412940000,3.0907,3.0942,3.0907,3.0915,742796.0,1753412999999,2297178.59116,3029,320623.1,991477.12163,0
1753413000000,3.0916,3.0954,3.0866,3.0933,1175073.6,1753413059999,3633913.43312,3810,771541.0,2386436.28396,0
1753413060000,3.0935,3.0966,3.0913,3.0928,1371722.5,1753413119999,4243789.71433,3634,860351.1,2661509.42603,0
1753413120000,3.0929,3.0953,3.0884,3.0889,350623.9,1753413179999,1084595.93745,1907,182420.0,564365.04912,0
1753413180000,3.0890,3.0913,3.0859,3.091,598783.9,1753413239999,1849770.63775,2467,277443.9,857013.86765,0
1753413240000,3.0910,3.0953,3.0909,3.0947,519485.6,1753413299999,1607325.18165,2127,238316.3,737307.86960,0
1753413300000,3.0947,3.0970,3.0876,3.0876,974196.7,1753413359999,3013609.09151,3462,411924.6,1274447.39140,0
1753413360000,3.0877,3.0895,3.0819,3.0876,701367.8,1753413419999,2164365.04100,3689,225168.7,694958.40755,0
1753413420000,3.0876,3.0901,3.0825,3.0863,1067181.1,1753413479999,3292894.83203,3817,662298.0,2043757.46883,0
1753413480000,3.0864,3.0934,3.0851,3.0891,616177.6,1753413539999,1904265.52621,2960,354914.6,1096984.67443,0
1753413540000,3.0891,3.0902,3.0860,3.0869,322491.2,1753413599999,995857.44413,2070,164722.8,508694.05152,0
1753413600000,3.0870,3.0941,3.0870,3.094,598212.5,1753413659999,1849385.05775,2912,308104.7,952424.21974,0
1753413660000,3.0941,3.1022,3.0931,3.102,1293505.9,1753413719999,4005543.44480,3589,776411.3,2404750.73662,0
1753413720000,3.1020,3.1062,3.1020,3.1026,1243070.2,1753413779999,3858827.26974,6818,442447.2,1373427.78396,0
1753413780000,3.1026,3.1036,3.0954,3.098,1161836.2,1753413839999,3601299.00284,7365,658099.2,2039714.58012,0
1753413840000,3.0979,3.1003,3.0962,3.0962,363411.6,1753413899999,1126001.08395,1845,171075.3,530118.36640,0
1753413900000,3.0963,3.1014,3.0952,3.0996,388326.2,1753413959999,1203214.62321,1777,190736.3,591036.52188,0
1753413960000,3.0995,3.0998,3.0927,3.0985,766175.7,1753414019999,2371765.33657,2183,151651.7,469450.17462,0
1753414020000,3.0985,3.1025,3.0950,3.0978,886877.4,1753414079999,2748946.14297,3026,636565.4,1973119.36010,0
1753414080000,3.0977,3.0986,3.0896,3.0911,895568.3,1753414139999,2772236.95276,2773,557662.8,1726793.78324,0
1753414140000,3.0911,3.0914,3.0860,3.0879,1183222.2,1753414199999,3654902.58793,3134,417997.0,1291310.28962,0
1753414200000,3.0879,3.0879,3.0708,3.0708,2654426.7,1753414259999,8168295.02629,6760,1100434.3,3386594.58634,0
1753414260000,3.0707,3.0736,3.0595,3.0632,5002347.4,1753414319999,15333390.43208,13491,1551381.5,4755969.66635,0
1753414320000,3.0631,3.0649,3.0511,3.0523,3857225.0,1753414379999,11790947.12983,12140,1363989.1,4170005.46769,0
1753414380000,3.0523,3.0559,3.0449,3.0482,4756603.4,1753414439999,14504335.96212,10720,1854431.6,5656597.08456,0
1753414440000,3.0482,3.0587,3.0438,3.0534,2285105.0,1753414499999,6972283.57568,7900,1142187.6,3485498.87687,0
1753414500000,3.0534,3.0584,3.0507,3.0545,1217924.1,1753414559999,3720652.32154,5076,541631.7,1654650.60538,0
1753414560000,3.0545,3.0629,3.0545,3.0593,1001589.6,1753414619999,3064415.98397,4652,537668.9,1645153.96087,0
1753414620000,3.0593,3.0633,3.0589,3.0606,725186.3,1753414679999,2220304.42618,3494,353498.8,1082269.75494,0
1753414680000,3.0605,3.0627,3.0574,3.0616,677291.9,1753414739999,2073434.50454,3353,230829.9,706612.21626,0
1753414740000,3.0616,3.0616,3.0550,3.0568,1387025.6,1753414799999,4241362.02836,4912,503813.2,1540487.46390,0
1753414800000,3.0569,3.0618,3.0566,3.0588,715471.6,1753414859999,2188604.09270,3479,401119.8,1226960.99075,0
1753414860000,3.0589,3.0616,3.0577,3.0608,622285.8,1753414919999,1904240.30487,3106,361927.9,1107472.25501,0
1753414920000,3.0609,3.0658,3.0551,3.0556,1662787.9,1753414979999,5088333.82349,4608,947967.7,2901045.30148,0
1753414980000,3.0557,3.0604,3.0488,3.0489,1586323.1,1753415039999,4843857.06093,5049,507318.5,1549360.36198,0
1753415040000,3.0487,3.0543,3.0480,3.0536,799441.0,1753415099999,2439218.74664,2972,470335.6,1435106.69945,0
1753415100000,3.0537,3.0544,3.0482,3.0538,1093592.4,1753415159999,3336333.37533,4308,454346.7,1386324.21280,0
1753415160000,3.0538,3.0670,3.0538,3.0646,1628770.8,1753415219999,4986612.73869,5400,989644.1,3029415.00746,0
1753415220000,3.0645,3.0645,3.0577,3.0616,1177295.6,1753415279999,3604773.50125,4243,640033.9,1959733.68000,0
1753415280000,3.0617,3.0698,3.0617,3.0645,1487825.6,1753415339999,4561622.19676,4480,925227.9,2836892.19674,0
1753415340000,3.0644,3.0726,3.0635,3.0725,840779.1,1753415399999,2578433.22318,3373,547641.2,1679495.34755,0
1753415400000,3.0725,3.0736,3.0652,3.0665,911477.4,1753415459999,2797563.20113,4138,478344.9,1468329.45179,0
1753415460000,3.0666,3.0708,3.0634,3.0651,574751.6,1753415519999,1762663.67964,3375,268795.7,824429.34302,0
1753415520000,3.0650,3.0711,3.0645,3.0696,583183.2,1753415579999,1789162.37185,3037,318829.2,978238.23015,0
1753415580000,3.0696,3.0717,3.0646,3.0647,548002.1,1753415639999,1681657.82547,2822,285505.9,876170.98462,0
1753415640000,3.0648,3.0715,3.0648,3.0697,438804.9,1753415699999,1346442.84120,2239,226651.2,695507.26020,0
1753415700000,3.0697,3.0697,3.0645,3.0691,459818.2,1753415759999,1410364.68966,2273,172672.2,529518.62988,0
1753415760000,3.0690,3.0750,3.0688,3.072,597340.2,1753415819999,1835390.71697,2709,239907.5,737095.22967,0
1753415820000,3.0721,3.0736,3.0609,3.0642,4106685.3,1753415879999,12587297.87118,5039,581926.9,1783219.94055,0
1753415880000,3.0643,3.0700,3.0643,3.0664,342280.4,1753415939999,1049915.71802,1574,190854.9,585319.79017,0
1753415940000,3.0664,3.0715,3.0649,3.0683,1242983.6,1753415999999,3814924.88474,2212,725640.4,2226889.89473,0
1753416000000,3.0682,3.0751,3.0676,3.0744,1254345.0,1753416059999,3852258.08780,4789,841064.1,2582521.32259,0
1753416060000,3.0744,3.0759,3.0727,3.0747,705327.3,1753416119999,2168529.13806,2582,400303.9,1230766.09147,0
1753416120000,3.0748,3.0757,3.0675,3.0723,1472283.8,1753416179999,4521560.20187,2968,471595.0,1448531.37720,0
1753416180000,3.0724,3.0848,3.0720,3.0813,1681629.9,1753416239999,5181041.36661,5403,1046546.5,3224357.80815,0
1753416240000,3.0812,3.0832,3.0778,3.0783,871668.2,1753416299999,2684821.61219,3211,537707.0,1656087.04595,0
1753416300000,3.0783,3.0817,3.0746,3.0764,679752.7,1753416359999,2092515.14758,2833,312841.8,962982.30668,0
1753416360000,3.0765,3.0786,3.0694,3.0704,948264.5,1753416419999,2914019.56671,3064,238382.0,732546.55455,0
1753416420000,3.0704,3.0763,3.0704,3.0744,539178.1,1753416479999,1657126.15947,2717,245490.1,754457.94996,0
1753416480000,3.0743,3.0761,3.0717,3.0726,634059.2,1753416539999,1949321.73137,2494,270481.9,831549.71229,0
1753416540000,3.0727,3.0733,3.0638,3.0644,1332645.5,1753416599999,4087315.69402,3869,457368.4,1402580.46246,0
1753416600000,3.0645,3.0686,3.0612,3.0684,1554995.3,1753416659999,4763643.26637,4667,529880.8,1623326.64908,0
1753416660000,3.0685,3.0759,3.0638,3.0638,1276554.6,1753416719999,3920566.36019,5135,583007.6,1790928.88847,0
1753416720000,3.0638,3.0672,3.0469,3.0518,2716888.2,1753416779999,8298225.60356,7228,755814.5,2308811.11194,0
1753416780000,3.0517,3.0581,3.0496,3.0534,798883.0,1753416839999,2439154.46231,4152,516543.3,1576976.82246,0
1753416840000,3.0535,3.0581,3.0521,3.0537,953260.5,1753416899999,2911711.87455,3598,498332.1,1521986.88984,0
1753416900000,3.0537,3.0590,3.0500,3.0505,881956.1,1753416959999,2692865.82224,3332,312664.3,954881.62010,0
1753416960000,3.0506,3.0597,3.0453,3.0597,891785.3,1753417019999,2720803.74155,4391,505605.5,1542727.60712,0
1753417020000,3.0597,3.0626,3.0566,3.0593,635212.7,1753417079999,1943645.59816,3375,332352.2,1016983.79783,0
1753417080000,3.0594,3.0680,3.0574,3.0625,641773.9,1753417139999,1966096.47622,3299,376636.9,1153672.64825,0
1753417140000,3.0624,3.0649,3.0582,3.0598,620441.8,1753417199999,1899496.07020,3248,320206.9,980334.94405,0
1753417200000,3.0599,3.0665,3.0564,3.0581,617438.3,1753417259999,1890237.37792,3457,245541.7,751664.41880,0
1753417260000,3.0581,3.0608,3.0521,3.0526,836441.5,1753417319999,2555294.11071,3772,394726.5,1205952.51454,0
1753417320000,3.0526,3.0619,3.0526,3.0571,657036.0,1753417379999,2008994.75054,3179,368904.1,1127720.16358,0
1753417380000,3.0572,3.0630,3.0542,3.0623,614013.4,1753417439999,1877801.92518,2913,360953.3,1104013.48851,0
1753417440000,3.0623,3.0665,3.0605,3.0665,481390.6,1753417499999,1474473.71474,2627,290792.5,890634.94791,0
1753417500000,3.0665,3.0665,3.0597,3.0606,446223.9,1753417559999,1367095.01666,2642,234343.6,717892.84354,0
1753417560000,3.0606,3.0634,3.0582,3.0583,367211.1,1753417619999,1123950.27697,2404,128980.4,394795.40746,0
1753417620000,3.0584,3.0584,3.0536,3.0556,526206.9,1753417679999,1608435.84360,2610,237087.4,724677.49229,0
1753417680000,3.0556,3.0805,3.0553,3.079,1971565.7,1753417739999,6057398.99421,5986,1513547.1,4650863.58310,0
1753417740000,3.0790,3.0801,3.0732,3.0759,1022373.7,1753417799999,3145862.33330,3845,509837.1,1568869.07167,0
1753417800000,3.0758,3.0874,3.0740,3.0869,1090612.0,1753417859999,3361180.78781,3984,755904.2,2329755.24792,0
1753417860000,3.0869,3.0952,3.0858,3.0949,2509594.2,1753417919999,7755735.06610,6390,1528690.0,4725013.44969,0
1753417920000,3.0948,3.1000,3.0914,3.0936,2053888.3,1753417979999,6357449.25747,5770,1227889.0,3800807.89408,0
1753417980000,3.0936,3.1047,3.0932,3.1003,1767489.9,1753418039999,5479435.29492,5022,935683.8,2900256.01622,0
1753418040000,3.1003,3.1006,3.0949,3.0962,1143655.0,1753418099999,3542770.13466,4123,433684.1,1343289.05575,0
1753418100000,3.0963,3.0978,3.0914,3.0977,1572669.9,1753418159999,4867278.80327,7321,862556.8,2669594.45724,0
1753418160000,3.0977,3.1053,3.0925,3.0966,2000009.1,1753418219999,6201861.22862,7168,1015452.2,3149088.68542,0
1753418220000,3.0966,3.1002,3.0934,3.1001,795842.9,1753418279999,2463938.78592,2949,491520.4,1521709.58173,0
1753418280000,3.1001,3.1013,3.0976,3.0996,640465.0,1753418339999,1985015.75534,2493,284788.0,882584.63996,0
1753418340000,3.0997,3.1009,3.0948,3.0994,601337.7,1753418399999,1863355.20345,2354,313905.4,972723.79012,0
1753418400000,3.0995,3.1013,3.0943,3.0953,578305.2,1753418459999,1791602.28591,2301,337173.7,1044541.49571,0
1753418460000,3.0954,3.0980,3.0937,3.0972,659378.6,1753418519999,2040964.21043,2463,266020.8,823492.75021,0
1753418520000,3.0972,3.0976,3.0900,3.0901,651198.7,1753418579999,2014616.06045,2127,349474.8,1081310.54402,0
1753418580000,3.0902,3.0926,3.0874,3.0883,693443.1,1753418639999,2142780.64319,2718,295896.7,914500.34604,0
1753418640000,3.0882,3.0903,3.0854,3.0888,583307.7,1753418699999,1801169.06992,2521,186633.0,576285.07723,0
1753418700000,3.0888,3.0986,3.0886,3.0974,571784.5,1753418759999,1769368.39148,3410,365651.4,1131369.62864,0
1753418760000,3.0973,3.0997,3.0937,3.0983,595784.5,1753418819999,1845021.62860,2513,344977.4,1068433.16083,0
1753418820000,3.0983,3.0992,3.0946,3.0951,531714.9,1753418879999,1646859.21811,2231,316720.1,980956.00357,0
1753418880000,3.0951,3.1020,3.0951,3.1018,1130889.0,1753418939999,3505637.88880,2759,698583.7,2165657.99616,0
1753418940000,3.1018,3.1068,3.1007,3.1052,2193733.5,1753418999999,6807286.97102,3859,1295580.7,4020143.87603,0
1753419000000,3.1053,3.1058,3.1000,3.102,2291319.3,1753419059999,7108340.56304,3817,1363006.4,4228057.41144,0
1753419060000,3.1020,3.1060,3.1006,3.1038,825780.2,1753419119999,2562601.47110,2392,460362.4,1428753.80883,0
